公司名稱,E~達成,,,,,E~目標,,,,,G,實體風險,,,,,轉型風險,,,,
鴻海,"展開節能改造減碳 320,925tCO2e",節能率達5.56%,推動98家供應商完成碳盤查,,推動供應商使用再生能源與廢棄物零埋認證,2050淨零碳排,2030綠電佔比>50%,2025廠區工業污水排放水質監測系統建置率100%,2025用水密集度下降 6%,廠區塑料內循環比例>60%,,乾旱,颱風、洪水等極端天氣,平均氣溫上升,,,市場訊息不確定,能源發規限制,利害關係人關注與反饋增加,,
可成,取得ISO 14001環境管理系統認證,取得SONY GP(Green Partner)綠色夥伴認證,台南市績優綠色採購企業,,,,,,,,,,,,,,,,,,
金寶,高耗能設備節能改善,建構永續供應鏈管理機制,主動參與碳揭露專案 CDP,,,每年節能 1%,每年節水 1%,提交SBT承諾書,長期達到總部碳中和,達成 SBT1.5℃,,極端天氣氣候(龍捲風、颶風、內澇),,,,,強制性購買碳權,相關規費、稅額提升,法規(再生能源及環境等)趨嚴,客戶或利害關係人的相關要求,
台塑,所有廠區通過 ISO 14001、ISO 45001、CNS 45001,"2021 年綠色採購12,752.7 萬元", CDP 氣候變遷問卷、CDP 水資源問卷分別獲A-、A評級,,,推動各廠「循環經濟」,,,,,,洪災淹水,缺水,,,,碳費徵收,再生能源發展條例,客戶要求減碳,公司信譽,
正新,"減少溫室氣體排放量17,794.60噸CO2e","減少57,265噸用水量",啟用太陽能光電系統,通過ISO50001,,每公噸產品降低溫室氣體排放3%,,,,,,強降雨導致積淹水,乾旱增加成本,災害事故導致營收損失,,,法規政策,客戶行為改變,溫室氣體總量管制及排放交易,,
和碩,節能766萬度,溫室氣體總排放量減少13%(較前一年),廢棄物產出量較前一年度減少34%,無重大汙染事件,,單位營收溫室氣體排放量及單位營收用電量皆降低25%,汰換節能設備及導入節能措施,建置再生能源發電裝置&購買再生能源,,,,,,,,,用電節約,溫室氣體減量與碳交易,政府、客戶及利害相關者期望與規劃,再生能源與新能源強制法規要求,能源來源及其供應穩定性
廣達,認養南崁溪上游的滯洪池,參與 CDP國際碳揭露專案,配合碳交易試點城市,,,實施年度節電率達1%以上,設置契約容量百分之十以上之綠能、節能設備,以零廢棄為廢棄物管理最終目的,,,,氣候異常所致水患與乾旱等風險,,,,,,,,,
緯創,再生能源使用量52.79%,CDP氣候變遷評比A-,"六大節電項目節省用電總量-2,126萬度",零排汙洩漏及零環保投訴,,2030年低碳轉型目標碳中和目標,2030年廢棄物產生密度減少 20% 等目標,,,,,極端高溫增加工安風險,乾旱,短延時強降水,,,碳價,低碳產品與服務的需求,再生能源與氣候風險法規發展,新技術投資,
英業達,"再生能源 1,700 萬度電節省 117 萬度電",2021 年廢棄物量較 2014 年減少 13.87%,,,,2025 年廢棄物量減少 25%,廠區盤點及汰換高能耗設備,持續提升再生能源比例 2030 年達 69%,加強價值鏈合作關係,,,氣溫上升,洪水,海平面上升,,,增加溫室氣體排放定價、碳交易成本,資通訊產品被低碳先進技術所替代,國際間再生能源需求增加,,
華碩,減少碳足跡,低碳製程,參與RE100全球再生能源倡議,新型號筆電能耗表現平均優於Energy Star標準 37.6%,,2025年供應鏈減碳30%,2030年台灣100% 再生能源,2050年投資創新減碳技術、移除剩餘碳排放量、逐步推動價值鏈邁向淨零,,,,長期性氣候變遷和立即性極端天氣災害,,,,,政策,法律,技術,市場變化,
宏,,,,,,,,,,,,,,,,,,,,,
光寶科,,,,,,,,,,,,,,,,,,,,,
仁寶,,,,,,,,,,,,,,,,,,,,,
友達,,,,,,,,,,,,,,,,,,,,,
大聯大,,,,,,,,,,,,,,,,,,,,,
文曄,,,,,,,,,,,,,,,,,,,,,
至上,,,,,,,,,,,,,,,,,,,,,
益登,,,,,,,,,,,,,,,,,,,,,
台達電,,,,,,,,,,,,,,,,,,,,,
群光,,,,,,,,,,,,,,,,,,,,,
正崴,,,,,,,,,,,,,,,,,,,,,
華新,,,,,,,,,,,,,,,,,,,,,
台積電,,,,,,,,,,,,,,,,,,,,,
日月光控股,,,,,,,,,,,,,,,,,,,,,
聯發科,,,,,,,,,,,,,,,,,,,,,
聯電,,,,,,,,,,,,,,,,,,,,,
中華電,,,,,,,,,,,,,,,,,,,,,
