公司名稱,股票代碼,產業類別,2020範疇一,2020範疇二,2020範疇三,2021範疇一,2021範疇二,2021範疇三,2020能源使用,2020可再生能源使用,2020不可再生能源使用,2020能源直接使用,2020能源間接使用,2021能源使用,2021可再生能源使用,2021不可再生能源使用,2021能源直接使用,2021能源間接使用,2020用水量(t),2020製程用水回收率(%),2020總結水量(t),2021用水量(t),2021製程用水回收率(%),2021總結水量(t),2020廢棄物產生量,2020一般廢棄物產生量,2020有害廢棄物產生量,2020廢棄物回收率(%),2021廢棄物產生量,2021一般廢棄物產生量,2021有害廢棄物產生量,2021廢棄物回收率(%),2020營收,2020淨利(稅前),2020資本支出,2021營收,2021淨利(稅前),2021資本支出,備註
鴻海,2317,電子通路與零組件業,152602,5265000,24025738,237946,5982836,nan,10383800000,,,nan,nan,10585800000,,,nan,nan,86737000,8.10%,本欄先以nan處理,86737000,8.10%,本欄先以nan處理,nan,nan,nan,nan,1001771,470075,453443,nan,"5,358,023,065","145,472,234","34,585,775","5,994,173,882","193,571,743","-92,082,562",用水原始數據單位有些問題，有先自行修正
可成,2474,電腦及周邊設備業,8422.931,64399.495,nan,7682.413,63938.736,63.9811,nan,,,nan,nan,159094900,,,nan,nan,1664845,10.40%,本欄先以nan處理,1327796,11.60%,本欄先以nan處理,13657.15,13650.94,6.21,93.76%,11024.11,10976.88,47.23,93.76%,"82,506,032","40,847,189","30,958,598","41,094,979","12,070,652","-62,262,816",
金寶,2312,電子通路與零組件業,5595.69,177025.51,nan,3656.84,22184.34,nan,328229600,nan,nan,nan,nan,54214440000,nan,nan,nan,nan,6897030,nan,本欄先以nan處理,4119620,nan,本欄先以nan處理,57876.87,12493.03,10282.36,nan,56540.98,12493.03,2223.19,nan,"128,219,874","687,759","-3,700,777","139,778,507","909,547","-1,633,134",
台塑,1301,民生工業 - 輕工業,25329780,221111,55545097,3918988,4685085,10445602,82465280000,0,67951390720,nan,nan,91498060000,0,76034887860,nan,nan,189398096.1,nan,本欄先以nan處理,2213182971,nan,本欄先以nan處理,1129663,1129260,403,nan,1217132,1216709,423,95.61%,"185,813,405","24,166,667","-3,915,855","273,598,301","85,956,814","-21,820,848",2020年的廢棄物數據有異，需再提出說明。有2022的報告
正新,2105,民生工業 - 輕工業,55357,473151,nan,55973,419027,nan,1144375000,nan,nan,nan,nan,1090526000,nan,nan,nan,nan,1572125,nan,本欄先以nan處理,1514860,nan,本欄先以nan處理,13964.34,12226.24,500,85.19%,12947.78,11798.31,326.69,92.52%,"96,209,056","8,156,706","-6,371,404","101,536,961","7,156,001","-4,279,095",
和碩,4938,電腦及周邊設備業,32595.1,566482.91,nan,33422.43,480916.86,709.29,705108900,nan,nan,nan,nan,742070600,nan,nan,nan,nan,5592151,nan,本欄先以nan處理,5234887,nan,本欄先以nan處理,66351,2654.04,1460,91.02%,70264,5930.2816,1713,90.17%,"1,399,332,906","29,443,283","-22,267,532","1,263,720,182","28,125,842","-45,170,488",
廣達,2382,電腦及周邊設備業,27675,534457,nan,32425,643263,nan,824053600,nan,nan,nan,nan,906873300,nan,nan,nan,nan,2443051,本欄先以nan處理,本欄先以nan處理,2807330,本欄先以nan處理,本欄先以nan處理,51549.28,3286.876,1470.528,91.12%,58882.41,3770.316,2015.606,90.51%,"1,090,858,851","34,431,799","-21,856,384","1,129,453,350","43,436,274","13,536,143",
緯創,3231,電腦及周邊設備業,23449.8,206711.81,nan,20382.51,125333.04,nan,515589880.3,191083900,324505980,nan,nan,433535105.9,209706550,223828560,nan,nan,5170060,12.76%,本欄先以nan處理,4090200,8.93%,本欄先以nan處理,42143.98,41142.08(非有害),1001.9,90.40%,39295.1,38251.60(非有害),1043.5,95.30%,"845,011,844","16,845,375","-16,265,976","862,082,848","19,234,277","-16,597,400",
英業達,2356,電腦及周邊設備業,7122,125799,583365,7142,93758,664446,194774600,nan,nan,nan,nan,189161100,nan,nan,nan,nan,1307100,1.39%,本欄先以nan處理,1081600,1.76%,本欄先以nan處理,23547.19,2912.787403,602.808064,nan,25766.61,2471.017899,724.041741,nan,"508,294,198","10,345,705","2,809,908","519,732,048","7,699,184","-3,122,727",
華碩,2357,電腦及周邊設備業,50.9,20379,nan,93.98,17161,15660.1008,nan,nan,38300000,nan,nan,nan,nan,nan,nan,nan,nan,nan,本欄先以nan處理,nan,nan,本欄先以nan處理,nan,nan,nan,nan,nan,nan,nan,nan,"412,780,439","33,120,038","-4,586,630","535,238,735","59,088,730","-1,783,632",缺失值過多，需詳讀或求助
宏碁,2353,電腦及周邊設備業,3004.03,9195.348,1695825.7,4551,8746,2099472,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,173805,22.50%,本欄先以nan處理,164324,19.70%,本欄先以nan處理,nan,nan,nan,nan,nan,nan,nan,nan,"277,112,477","8,905,103","-5,253,537","319,005,456","15,435,645","-20,991",
光寶科,2301,電腦及周邊設備業,11947.73,213791.42,nan,10080.71,216771.26,nan,360689000,57098000,nan,11948000,348741000,384488000,74672000,nan,8579000,375909000,2555303000,6.69%,本欄先以nan處理,2539346000,4.44%,本欄先以nan處理,20512,4648,1900,78.66%,18596,3679,2392,76.99%,"157,133,623","12,601,921","583,330","164,827,947","17,632,247","-3,103,331",
仁寶,2324,電腦及周邊設備業,23331.811,191286.178,nan,22445.15,220617.737,nan,389859200,127977400,256832500,nan,nan,400016800,168690500,231326300,nan,nan,2543277,nan,本欄先以nan處理,2683948,nan,本欄先以nan處理,8052.1,nan,1393.1,nan,7529.4,nan,1482.9,nan,"1,048,929,251","13,122,716","-7,912,429","1,235,682,015","17,467,835","-11,063,115",
友達,2409,重工業,102200,2909300,1471800,79200,2841200,1286100,5362653000,5329333,5357324000,nan,nan,5293448000,5408761,5288039239,nan,nan,26460380000,93.81%,本欄先以nan處理,24991780000,94.47%,本欄先以nan處理,81510.94,62184.21,19326.73,83.16%,83654.52,nan,18099.85,81.87%,"270,955,381","2,787,671","-17,708,146","370,685,141","66,406,795","-30,350,308",
大聯大,3702,電子通路與零組件業,nan,3235.7,nan,819.25,3260.26,nan,6787638,nan,nan,nan,nan,9003186,nan,nan,nan,nan,44684,nan,本欄先以nan處理,26908,nan,本欄先以nan處理,449.706,207,0,nan,381.652,260.694,0,nan,"609,885,871","9,887,553","-9,094,774","778,572,715","14,175,100","-1,141,741",
文曄,3036,電子通路與零組件業,200.4,1015.02,nan,144.7,1038.55,190.95,1904214,nan,nan,nan,nan,2068826,nan,nan,nan,nan,17010,nan,本欄先以nan處理,11140,nan,本欄先以nan處理,6.492,nan,nan,nan,118.33,nan,nan,nan,"353,152,195","4,798,769","-257,970","447,896,117","10,179,825","-992,868",
至上,8112,電子通路與零組件業,nan,209.58,nan,3.393,232.317,1500.392,1502928,nan,nan,nan,nan,1424606.4,nan,nan,nan,nan,1566,nan,本欄先以nan處理,833,nan,本欄先以nan處理,nan,nan,nan,nan,nan,nan,nan,nan,"137,509,979","2,331,252","-20,915","208,738,834","4,165,629","1,839,279",
益登,3048,電子通路與零組件業,nan,464.9,nan,nan,440.59,nan,926097,nan,nan,nan,nan,865600,nan,nan,nan,nan,3100,nan,本欄先以nan處理,3020,nan,本欄先以nan處理,1.02,1.02,0,nan,9.07,9.07,0,nan,"108,522,967","908,473","-120,641","108,236,723","1,423,254","-142,170",
台達電,2308,電子通路與零組件業,14183,163628,nan,17808,133207,nan,634473330,310322000,252958000,nan,nan,712516720,386545000,246907000,nan,nan,3788600,11.90%,本欄先以nan處理,4208900,11.60%,本欄先以nan處理,39447,nan,3687.3,nan,50060.9,nan,4018.7,nan,"282,605,493","34,275,283","-19,104,772","314,670,796","35,627,547","-26,481,259",
群光,2385,電子通路與零組件業,5793.01,83606,106682.95,7237.24,90208.3,nan,123353100,nan,nan,nan,nan,139168100,nan,nan,nan,nan,1405417.49,nan,本欄先以nan處理,1632816.64,nan,本欄先以nan處理,3799.32,3616.03,183.29,nan,3984.98,3718.27,266.71,nan,"95,082,227","8,218,190","-1,628,724","107,474,079","9,451,621","-2,469,172",
正崴,2392,電子通路與零組件業,86888,227889,236578,11802,234489,246291,6840842000,nan,nan,nan,nan,18082440000,nan,nan,nan,nan,4250,7.01%,本欄先以nan處理,3365820,4.56%,本欄先以nan處理,6038,208,1991,nan,4995.5,1463,1843.5,nan,"89,552,100","2,583,835","-7,181,302","86,800,735","2,153,467","22,370",
華新,1605,重工業,190293.61,402295.7811,nan,201262.0193,414803.7384,nan,2319833000,nan,nan,709977000,1609856000,2428650000,nan,nan,773725000,1654925000,16291210,90.92%,本欄先以nan處理,16409420,90.82%,本欄先以nan處理,245439,nan,nan,96.22%,198733.87,nan,71695.87,98.24%,"112,546,603","9,250,665","-12,309,881","156,664,766","19,122,498","-985,974",
台積電,2330,電子業 - 半導體業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,339,254,811","584,777,180","-505,781,714","1,587,415,037","663,126,314","-836,365,863",
日月光控股,3711,電子業 - 半導體業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"476,978,710","35,733,679","-60,946,303","569,997,133","80,335,407","-49,091,569",
聯發科,2454,電子業 - 半導體業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"322,145,988","47,582,686","-6,769,068","493,414,582","126,852,053","-28,924,484",
聯電,2303,電子業 - 半導體業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"176,820,914","27,926,179","-40,111,501","213,011,018","61,803,404","-62,163,400",
中華電,2412,服務業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"207,608,998","42,830,971","-68,253,689","210,477,948","46,066,624","-31,172,361",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"476,506,085","103,127,912","-67,201,747","485,832,177","165,589,399","-11,253,959",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"629,914,485","81,615,781","-15,165,853","625,962,605","159,526,371","-12,891,519",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"224,824,427","21,948,393","-150,508,431","192,278,170","52,199,699","-7,291,828",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268,137,149","8,492,051","-6,494,092","216,512,146","18,441,707","-14,980,026",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,628,866","30,766,278","-7,340,545","119,240,503","30,766,278","-1,751,950",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194,406,321","51,577,057","-12,224,156","186,057,824","62,044,158","24,874,507",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,736,394","9,450,199","287,378","2,695,981","15,911,994","866,203",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"210,659,310","3,171,986","-29,666,653","188,373,202","646,215","-112,574,623",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"447,319,979","38,438,021","-15,755,308","473,501,669","36,267,728","-23,102,783",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,544,161","3,632,369","-2,255,168","11,322,814","4,819,483","-1,299,008",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206,769,281","16,123,484","-66,444,023","238,806,217","17,827,305","-21,784,053",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,234,546","8,376,533","-3,746,515","85,298,857","9,770,721","-7,393,062",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"231,813,269","21,124,885","-20,424,204","246,917,024","24,970,659","-23,314,186",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,597,514","5,723,548","5,557,722","78,047,772","9,697,808","-2,607,860",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"207,077,912","31,839,829","-32,884,890","489,406,832","288,234,576","-166,155,806",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,250,550","-653,797","-25,048,173","138,841,403","11,126,605","-16,665,149",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"151,276,683","16,150,043","-6,128,918","333,687,395","202,376,745","-141,108,194",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"314,783,301","2,768,162","-28,864,739","468,327,501","84,413,648","-16,169,332",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,911,223","35,819,083","-29,947,915","107,041,452","26,078,084","-13,290,750",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,845,946","4,917,024","-834,216","33,138,325","7,954,832","1,201,747",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"249,954,311","5,961,326","-7,477,711","239,884,409","17,156,734","-2,974,286",
